id,activity,unit,server_network_energy_wh,total_system_energy_wh,direct_water_ml,total_water_ml,status,system_boundary,source_ids,last_reviewed
text-prompts,AI text prompts,prompts,0.3,0.3,0.26,1.3,estimated,legacy-row-specific,epoch-chatgpt-energy|jegham-how-hungry-is-ai,2026-03-09
reasoning-prompts,High-reasoning prompts,prompts,33.8,33.8,33.8,202.8,inferred,legacy-row-specific,jegham-how-hungry-is-ai|scenario-methods,2026-03-09
image-generation,AI image generation,images,1.7,1.7,1.7,10.2,inferred,legacy-row-specific,iea-energy-and-ai|ippolito-what-uses-more|scenario-methods,2026-07-14
vibe-coding,Coding-agent use,hours,325,355,325,1950,estimated,legacy-row-specific,simon-couch-coding-agent|scenario-methods,2026-03-09
tiktok,TikTok or short-video scrolling,hours,7.5,36,7.5,45,estimated,legacy-row-specific,greenspector-social-media-2021|adam-holter-tiktok|kamiya-streaming-video|scenario-methods,2026-03-09
instagram,Instagram scrolling,hours,5,25,5,30,estimated,legacy-row-specific,greenspector-social-media-2021|kamiya-streaming-video|scenario-methods,2026-03-09
snapchat,Snapchat,hours,4,20,4,24,estimated,legacy-row-specific,greenspector-social-media-2021|scenario-methods,2026-03-09
youtube,YouTube watching,hours,22,26,22,132,inferred,legacy-row-specific,kamiya-streaming-video|scenario-methods,2026-03-09
netflix,Netflix streaming,hours,22,37,22,132,inferred,legacy-row-specific,kamiya-streaming-video|scenario-methods,2026-03-09
cloud-docs-browsing,"Email, cloud docs, and browsing",daily blocks,4,30,4,24,estimated,legacy-row-specific,scenario-methods,2026-03-09
zoom-participant,Zoom as participant,hours,54,74,54,324,estimated,legacy-row-specific,mytton-zoom|verdecchia-video-call-energy|scenario-methods,2026-03-09
zoom-host,Zoom as host,meetings,192,358,192,1152,estimated,legacy-row-specific,mytton-zoom|verdecchia-video-call-energy|scenario-methods,2026-03-09
